Type,Country,Area,Activity,Sex,Fatal (Y/N),Time,Investigator or Source,Year,Month
Invalid,USA,South Carolina,Swimming related,M,,Afternoon,"C. Creswell, GSAF",2017.0,Jul
Unprovoked,USA,South Carolina,,F,N,Afternoon,"C. Creswell, GSAF",2017.0,Jul
Unprovoked,BAHAMAS,New Providence District,"Other random, unclassifiable or silly activities",F,N,,"R. Rolle, Tribune 242,  7/28/2017",2017.0,Jul
Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Fishing related,M,N,,"RevistaJaraysedal.es, 7/26/2017",2017.0,Jul
Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Board involved activity,M,N,Afternoon,"Telegraph UK, 7/28/2017",2017.0,Jul
Unprovoked,SPAIN,Majorca,Swimming related,F,N,Afternoon,"Daily Record, 7/24/2017",2017.0,Jul
Unprovoked,USA,Florida,,F,N,Afternoon,"NBC Miami, 7/23/2017",2017.0,Jul
Boating,USA,California,"Other random, unclassifiable or silly activities",M,N,Morning,"R. Collier, GSAF",2017.0,Jul
Unprovoked,USA,California,"Other random, unclassifiable or silly activities",M,N,Morning,"R. Collier, GSAF",2017.0,Jul
Unprovoked,USA,Washington,Board involved activity,M,N,Evening,"R. Collier, GSAF",2017.0,Jul
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,N,Morning,,2017.0,Jul
Boating,USA,California,"Other random, unclassifiable or silly activities",M,N,Morning,"R. Collier, GSAF",2017.0,Jul
Unprovoked,USA,Florida,Swimming related,M,N,Afternoon,"Miami-Beach Patch, 7/9/2017",2017.0,Jul
Provoked,MEXICO,Tabasco,Fishing related,M,N,,"Tabasco Hoy, 7/7/2017",2017.0,Jul
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Board involved activity,F,N,Afternoon,"Dispatch Live, 7/7/2027",2017.0,Jul
Invalid,USA,South Carolina,Fishing related,M,,Evening,"C. Creswell, GSAF",2017.0,Jun
Unprovoked,USA,South Carolina,Swimming related,F,N,,"C. Creswell, GSAF",2017.0,Jun
Unprovoked,USA,Florida,Board involved activity,M,N,Morning,"CBS12, 6/19/2017",2017.0,Jun
Unprovoked,USA,South Carolina,Swimming related,F,N,,"C. Creswell, GSAF",2017.0,Jun
Unprovoked,REUNION,,Board involved activity,M,N,Morning,"Clincanoo, 6/19/2017",2017.0,Jun
Unprovoked,SPAIN,Ibiza Island,Swimming related,M,N,Afternoon,"Diario de Ibiza, 6/17/'2017",2017.0,Jun
Unprovoked,FRENCH POLYNESIA,Marquesas,Board involved activity,M,N,,"Tahiti Infos, 6/6/2017",2017.0,
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,N,Morning,"WA Today, 6/11/2017",2017.0,Jun
Unprovoked,AUSTRALIA,Victoria,Board involved activity,F,N,Afternoon,Victoria Shark Reports,2017.0,Jun
Unprovoked,USA,Florida,Board involved activity,M,N,Morning,"Daytona Beach News-Journal, 6/10/2017",2017.0,Jun
Unprovoked,UNITED KINGDOM,South Devon,Board involved activity,M,N,,"C. Moore, GSAF",2017.0,Jun
Unprovoked,USA,Florida,Fishing related,M,N,,"Nine News, 6/7/2017",2017.0,Jun
Unprovoked,BAHAMAS,New Providence ,"Other random, unclassifiable or silly activities",F,N,Afternoon,"Tribune 242, 6/2/2017",2017.0,Jun
Provoked,USA,South Carolina,Consequence of handeling sharks,F,N,,"C. Creswell, GSAF",2017.0,May
Unprovoked,USA,Florida,Consequence of handeling sharks,M,N,Morning,"M. Michaelson, GSAF",2017.0,May
Invalid,AUSTRALIA,New South Wales,Fishing related,M,N,,"B. Myatt, GSAF",2017.0,May
Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Fishing related,M,N,Morning,"Gulf News, 5/13/2017",2017.0,May
Provoked,AUSTRALIA,Queensland,Consequence of handeling sharks,M,N,,"The Sun, 5/6/2017",2017.0,May
Unprovoked,MEXICO,Baja California Sur,"Other random, unclassifiable or silly activities",M,Y,Afternoon,J. Rozada,2017.0,May
Invalid,USA,California,Board involved activity,F,,Afternoon,"R. Collier, GSAF",2017.0,May
Unprovoked,USA,California,Swimming related,F,N,Afternoon,"R. Collier, GSAF",2017.0,Apr
Unprovoked,SOUTH AFRICA,Western Cape Province,Board involved activity,M,N,Morning,"J. de Villiars, News24, 4/29/2017",2017.0,Apr
Unprovoked,USA,South Carolina,Board involved activity,F,N,Morning,"C. Creswell, GSAF",2017.0,Apr
Unprovoked,REUNION,Saint-Leu,Board involved activity,M,Y,Morning,"Clicanoo, 4/29/2017",2017.0,Apr
Unprovoked,NEW ZEALAND,South Island,Board involved activity,F,N,Afternoon,"C.Black, GSAF",2017.0,Apr
Unprovoked,"ST HELENA, British overseas territory",Ascension Island,"Other random, unclassifiable or silly activities",F,N,Afternoon,"Daily Mail, 4/25/2017",2017.0,Apr
Invalid,USA,South Carolina,Swimming related,M,,Morning,"C. Creswell, GSAF",2017.0,Apr
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,F,Y,Afternoon,"B. Myatt, GSAF",2017.0,Apr
Unprovoked,USA,Hawaii,Board involved activity,M,N,Morning,"Hawaii News Now, 4/14/2017",2017.0,Apr
Unprovoked,USA,Florida,Board involved activity,M,N,Afternoon,"News4Jax, 4/14/2017",2017.0,Apr
Unprovoked,USA,Florida,Board involved activity,F,N,Afternoon,"The Surf Station, 4/13/2017",2017.0,Apr
Unprovoked,USA,Florida,Board involved activity,F,N,Afternoon,"WFTV, 4/11/2017",2017.0,Apr
Unprovoked,USA,Florida,Board involved activity,F,N,Afternoon,"Brevard Times, 4/10/2017",2017.0,Apr
Unprovoked,USA,Florida,Swimming related,F,N,Afternoon,"Brevard Times, 4/10/2017",2017.0,Apr
Unprovoked,USA,Florida,Swimming related,M,N,,"Bradenton Herald, 4/7/2017",2017.0,Apr
Unprovoked,USA,Florida,Swimming related,F,N,Afternoon,"AJC, 4/5/2017",2017.0,Apr
Unprovoked,AUSTRALIA,Queensland,"Other random, unclassifiable or silly activities",M,N,Afternoon,"Philly.com, 4/3/2017",2017.0,Apr
Unprovoked,USA,Florida,Swimming related,F,N,Afternoon,Okaloosa County Sheriff's Office,2017.0,Apr
Unprovoked,USA,Florida,Board involved activity,M,N,Morning,"Orlando Sentinel, 3/27/2017",2017.0,Mar
Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,N,Evening,"Illawarra Mercury, 1/19/2017",2017.0,Mar
Boating,USA,California,"Other random, unclassifiable or silly activities",M,N,Afternoon,"R. Collier, GSAF",2017.0,Mar
Unprovoked,PHILIPPINES,Luzon Island,Fishing related,M,N,,"ABS-CBN, 3/13/2017",2017.0,Mar
Unprovoked,BAHAMAS,Great Exuma,"Other random, unclassifiable or silly activities",M,N,,"Kent Live, 3/9/2017",2017.0,Mar
Unprovoked,AUSTRALIA,Western Australia,"Other random, unclassifiable or silly activities",F,N,Morning,"Perth Now, 2/27/2017",2017.0,Feb
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,N,Morning,"Perth Now, 2/24/2017",2017.0,Feb
Unprovoked,REUNION,Saint-Andre,Board involved activity,M,Y,Morning,"Surfline, 2/21/2017",2017.0,Feb
Unprovoked,AUSTRALIA,Queensland,Fishing related,M,N,Morning,"Courier Mail, 2/18/2017",2017.0,Feb
Unprovoked,USA,Florida,Swimming related,M,N,Afternoon,"Florida Today, 2/11/2017",2017.0,Feb
Provoked,BRAZIL,Pernambuco,Consequence of handeling sharks,F,N,Afternoon,"O Popular, 2/7/2017",2017.0,Feb
Boating,SOUTH AFRICA,KwaZulu-Natal,Fishing related,M,N,,"The Citizen, 2/8/2017",2017.0,Feb
Unprovoked,BAHAMAS,Bimini,Diving activities,M,N,,"Dutch News, 2/2/2017",2017.0,Feb
Unprovoked,BRAZIL,Pernambuco,Swimming related,M,N,Afternoon,"K. McMurray, Tracking Sharks",2017.0,Jan
Unprovoked,USA,Florida,,M,N,Afternoon,"TCPalm, 1/22/2017",2017.0,Jan
Unprovoked,AUSTRALIA,Queensland,Diving activities,M,N,Afternoon,"ABC, 1/21/2017",2017.0,Jan
Unprovoked,AUSTRALIA,Queensland,Swimming related,M,N,Afternoon,"Brisbane Times,1/13/2017",2017.0,Jan
Unprovoked,USA,Florida,,M,N,Morning,WPTV. 1/13/2017,2017.0,Jan
Unprovoked,INDONESIA,Bali,Board involved activity,M,N,Morning,"Daily Mail, 1/11/2017",2017.0,Jan
Unprovoked,USA,Florida,Beach activities,M,N,Afternoon,"Florida Today, 1/5/2017",2017.0,Jan
Invalid,AUSTRALIA,New South Wales,Beach activities,M,,Evening,"Illawarra Mercury, 1/7/2017",2017.0,Jan
Unprovoked,USA,Florida,Board involved activity,M,N,Afternoon,"TCPalm, 12/28/2016",2016.0,Dec
Unprovoked,AUSTRALIA,Western Australia,"Other random, unclassifiable or silly activities",F,N,Morning,"Perth Now, 12/28/2016",2016.0,Dec
Unprovoked,SOUTH AFRICA,Western Cape Province,Board involved activity,M,N,Morning,"The Citizen, 12/19/2016",2016.0,Dec
Unprovoked,AUSTRALIA,Western Australia,Diving activities,M,N,Morning,"Perth Now, 12/15/2016",2016.0,Dec
Unprovoked,FRENCH POLYNESIA,Tuamotos,Fishing related,M,N,,"Tahiti Info, 12/12/2016",2016.0,Dec
Invalid,USA,Florida,Board involved activity,M,,Afternoon,"News Journal, 12/15/2016",2016.0,Dec
Provoked,AUSTRALIA,New South Wales,Board involved activity,M,N,Nightime,Bay 93.9 Geelong,2016.0,Dec
Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,N,Morning,"B. Myatt, GSAF",2016.0,Dec
Provoked,AUSTRALIA,Victoria,Fishing related,M,N,Morning,"ABC News, 11/28/2016",2016.0,Nov
Unprovoked,USA,Hawaii,"Other random, unclassifiable or silly activities",F,N,Morning,"Maui News, 11/14/2016",2016.0,Nov
Unprovoked,USA,Florida,Board involved activity,M,N,Afternoon,"First Coast News, 10/31/2016",2016.0,Oct
Unprovoked,USA,Florida,Board involved activity,M,N,Afternoon,"First Coast News, 10/31/2016",2016.0,Oct
Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,N,Morning,"Daily Mail, 10/24/2016",2016.0,Oct
Unprovoked,USA,Hawaii,Board involved activity,M,N,Afternoon,"Surfline, 10/23/2016",2016.0,Oct
Unprovoked,AUSTRALIA,Queensland,Board involved activity,M,N,Evening,"Daily Mail, 10/16/2016",2016.0,Oct
Unprovoked,USA,Hawaii,"Other random, unclassifiable or silly activities",F,N,Morning,Maui News,2016.0,Oct
Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,N,Morning,"Courier Mail, 10/12/2016",2016.0,Oct
Unprovoked,USA,Oregon,Board involved activity,M,N,Afternoon,"UP Beacon, 10/12/2016",2016.0,Oct
Unprovoked,USA,Florida,Board involved activity,M,N,Morning,"Orlando Sentinel, 10/2/2016",2016.0,Oct
Unprovoked,USA,Florida,Board involved activity,M,N,Afternoon,"Orlando Sentinel, 10/2/2016",2016.0,Oct
Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,N,9h00,"ABC.net.au, 09/26/2016",2016.0,Sep
Unprovoked,USA,Florida,Board involved activity,M,N,Afternoon,"Orlando Sentinel, 9/19/2016",2016.0,Sep
Unprovoked,USA,Florida,Board involved activity,M,N,Morning,"Orlando Sentinel, 9/19/2016",2016.0,Sep
Unprovoked,USA,Florida,Board involved activity,M,N,Morning,"Orlando Sentinel, 9/19/2016",2016.0,Sep
Unprovoked,USA,California,Board involved activity,M,N,Afternoon,"R. Collier, GSAF",2016.0,Sep
Unprovoked,AUSTRALIA,Victoria,Board involved activity,M,N,,"The Age, 9/18/2016",2016.0,Sep
Unprovoked,AUSTRALIA,Victoria,Board involved activity,M,N,,"The Age, 9/16/2016",2016.0,Sep
Unprovoked,USA,Florida,Beach activities,M,N,Afternoon,"News4Jax, 9/11/2016",2016.0,Sep
Unprovoked,USA,Hawaii,Swimming related,F,N,Afternoon,"Hawaii News Now, 9/7/2016",2016.0,Sep
Unprovoked,NEW CALEDONIA,North Province,Board involved activity,M,Y,Afternoon,"TVANouvelles, 9/6/2016",2016.0,Sep
Unprovoked,USA,South Carolina,Board involved activity,F,N,Afternoon,"C. Creswell, GSAF",2016.0,Sep
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,N,Afternoon,"Perth Now, 9/5/2016",2016.0,Sep
Unprovoked,USA,Florida,Board involved activity,M,N,,"Orlando Sentinel, 9/7/2016",2016.0,Sep
Unprovoked,USA,California,Fishing related,M,N,,"R. Collier, GSAF",2016.0,Sep
Unprovoked,USA,Florida,Board involved activity,M,N,Afternoon,"News Channel 8, 8/30/16",2016.0,Aug
Unprovoked,USA,Florida,Board involved activity,M,N,Afternoon,"News Channel 8, 8/30/16",2016.0,Aug
Unprovoked,REUNION,,Board involved activity,M,N,Afternoon,"LaDepeche, 8/29/2016",2016.0,Aug
Unprovoked,USA,Florida,Beach activities,M,N,Afternoon,"First Coast News, 7/25/2016",2016.0,Aug
Unprovoked,BAHAMAS,New Providence Island,"Other random, unclassifiable or silly activities",M,N,,"ABC, 8/11/2016",2016.0,Aug
Unprovoked,USA,Hawaii,Board involved activity,M,N,Afternoon,"SUP, 8/9/2015",2016.0,Aug
Unprovoked,USA,Florida,Board involved activity,M,N,,"News 965, 8/5/2016",2016.0,Aug
Unprovoked,SPAIN,Alicante Province,Swimming related,M,N,Morning,"Informacion.es, 7/29/2016",2016.0,Jul
Unprovoked,CHINA,Hong Kong,Swimming related,M,N,,"Klassick, 7/28/2016",2016.0,Jul
Boating,AUSTRALIA,Western Australia,"Other random, unclassifiable or silly activities",M,N,,"ABC Australia, 7/28/2016",2016.0,Jul
Provoked,USA,Florida,"Other random, unclassifiable or silly activities",M,N,,"Tampa Bay Times, 7/27/2016",2016.0,Jul
Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,N,Afternoon,"Gold Coast Bulletin, 7/28/2016",2016.0,Jul
Unprovoked,JAPAN,Kochi Prefecture,Board involved activity,M,N,Evening,"Japan Times, 7/25/2016",2016.0,Jul
Unprovoked,AUSTRALIA,Tasmania,Board involved activity,M,N,,"C. Black, GSAF",2016.0,Jul
Unprovoked,BAHAMAS,Abaco Islands,Fishing related,M,N,,"KWTX, 7/23/2016",2016.0,Jul
Provoked,AUSTRALIA,Queensland,Fishing related,M,N,Afternoon,"Nine News, 7/20/2016",2016.0,Jul
Unprovoked,USA,Florida,Board involved activity,F,N,Afternoon,"Orlando Sentinel, 7/21/2016",2016.0,Jul
Unprovoked,USA,Florida,,F,N,Morning,"Orlando Sentinel, 7/21/2016",2016.0,Jul
Unprovoked,USA,California,Board involved activity,M,N,Afternoon,"R. Collier, GSAF",2016.0,Jul
Unprovoked,USA,South Carolina,Swimming related,M,N,,"C. Creswell, GSAF",2016.0,Jul
Unprovoked,SPAIN,Canary Islands,Beach activities,F,N,,La Opinion de Tenerife,2016.0,Jul
Boating,USA,California,Fishing related,M,N,,"R. Collier, GSAF",2016.0,Jul
Provoked,USA,Massachusetts,Fishing related,M,N,Morning,Salem News 7/8/2016,2016.0,Jul
Boating,USA,California,Fishing related,M,N,,"R. Collier, GSAF",2016.0,Jul
Unprovoked,USA,Florida,Swimming related,F,N,Afternoon,"Florida Today, 7/6/2016",2016.0,Jul
Provoked,AUSTRALIA,Queensland,Fishing related,M,N,Nightime,"Cairns Post, 7/9/2016",2016.0,Jul
Unprovoked,USA,South Carolina,,M,N,Afternoon,"C. Creswell, GSAF",2016.0,Jun
Unprovoked,USA,North Carolina,Board involved activity,M,N,Afternoon,"C. Creswell, GSAF",2016.0,Jun
Unprovoked,COLUMBIA,Isla Provedencia,Diving activities,M,N,Morning,Dr. A. Velez,2016.0,Jun
Unprovoked,SOUTH AFRICA,Western Cape Province,Fishing related,M,N,,"News 24, 6/23/2016",2016.0,Jun
Unprovoked,USA,South Carolina,"Other random, unclassifiable or silly activities",M,N,Afternoon,"C. Creswell, GSAF",2016.0,Jun
Unprovoked,USA,Florida,Beach activities,M,N,Afternoon,"Florida Today, 6/22/2016",2016.0,Jun
Unprovoked,USA,Hawaii,Board involved activity,M,N,Morning,"West Hawaii Today, 6/16/2016",2016.0,Jun
Provoked,AUSTRALIA,Western Australia,Fishing related,M,N,,"Perth Now, 6/16/2016",2016.0,Jun
