Type,Country,Area,Activity,Sex,Fatal (Y/N),Time,Investigator or Source,Year,Month
Provoked,AUSTRALIA,Queensland,Attempting to lasso a shark,M,N,,"The Sun, 5/6/2017",2017,May
Unprovoked,MEXICO,Baja California Sur,Snorkeling,M,Y,17h00,J. Rozada,2017,May
Invalid,USA,California,Surfing,F,,14h30,"R. Collier, GSAF",2017,May
Unprovoked,USA,California,Swimming,F,N,17h34,"R. Collier, GSAF",2017,Apr
Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,N,17h10,"J. de Villiars, News24, 4/29/2017",2017,Apr
Unprovoked,USA,South Carolina,Surfing,F,N,11h00,"C. Creswell, GSAF",2017,Apr
Unprovoked,REUNION,Saint-Leu,Body boarding,M,Y,11h15,"Clicanoo, 4/29/2017",2017,Apr
Unprovoked,NEW ZEALAND,South Island,Body boarding,F,N,14h00,"C.Black, GSAF",2017,Apr
Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Snorkeling,F,N,16h00,"Daily Mail, 4/25/2017",2017,Apr
Invalid,USA,South Carolina,Swimming,M,,08h50,"C. Creswell, GSAF",2017,Apr
Unprovoked,AUSTRALIA,Western Australia,Surfing,F,Y,16h00,"B. Myatt, GSAF",2017,Apr
Unprovoked,USA,Hawaii,Surfing,M,N,09h00,"Hawaii News Now, 4/14/2017",2017,Apr
Unprovoked,USA,Florida,Surfing,M,N,13h30,"News4Jax, 4/14/2017",2017,Apr
Unprovoked,USA,Florida,Surfing,F,N,13h45,"The Surf Station, 4/13/2017",2017,Apr
Unprovoked,USA,Florida,Surfing,F,N,16h00,"WFTV, 4/11/2017",2017,Apr
Unprovoked,USA,Florida,Paddle boarding,F,N,17h45,"Brevard Times, 4/10/2017",2017,Apr
Unprovoked,USA,Florida,Swimming,F,N,17h00,"Brevard Times, 4/10/2017",2017,Apr
Unprovoked,USA,Florida,Swimming,M,N,,"Bradenton Herald, 4/7/2017",2017,Apr
Unprovoked,USA,Florida,Swimming,F,N,13h00,"AJC, 4/5/2017",2017,Apr
Unprovoked,AUSTRALIA,Queensland,Kakaying,M,N,Afternoon,"Philly.com, 4/3/2017",2017,Apr
Unprovoked,USA,Florida,Swimming,F,N,15h00,Okaloosa County Sheriff's Office,2017,Apr
Unprovoked,USA,Florida,Surfing,M,N,10h00,"Orlando Sentinel, 3/27/2017",2017,Mar
Unprovoked,AUSTRALIA,New South Wales,Body boarding,M,N,18h30,"Illawarra Mercury, 1/19/2017",2017,Mar
Boating,USA,California,Kayaking,M,N,14h30,"R. Collier, GSAF",2017,Mar
Unprovoked,PHILIPPINES,Luzon Island,Spearfishing,M,N,,"ABS-CBN, 3/13/2017",2017,Mar
Unprovoked,BAHAMAS,Great Exuma,Washing hands,M,N,,"Kent Live, 3/9/2017",2017,Mar
Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,N,Morning,"Perth Now, 2/27/2017",2017,Feb
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,Morning,"Perth Now, 2/24/2017",2017,Feb
Unprovoked,REUNION,Saint-Andre,Body boarding,M,Y,09h30,"Surfline, 2/21/2017",2017,Feb
Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,N,10h20,"Courier Mail, 2/18/2017",2017,Feb
Unprovoked,USA,Florida,Swimming,M,N,13h30,"Florida Today, 2/11/2017",2017,Feb
Provoked,BRAZIL,Pernambuco,Grabbing shark for a selfie,F,N,Afternoon,"O Popular, 2/7/2017",2017,Feb
Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,M,N,,"The Citizen, 2/8/2017",2017,Feb
Unprovoked,BAHAMAS,Bimini,Scuba Diving,M,N,,"Dutch News, 2/2/2017",2017,Feb
Unprovoked,BRAZIL,Pernambuco,Swimming,M,N,13h20,"K. McMurray, Tracking Sharks",2017,Jan
Unprovoked,USA,Florida,,M,N,14h00,"TCPalm, 1/22/2017",2017,Jan
Unprovoked,AUSTRALIA,Queensland,Scuba Diving,M,N,12h00,"ABC, 1/21/2017",2017,Jan
Unprovoked,AUSTRALIA,Queensland,Swimming,M,N,13h30,"Brisbane Times,1/13/2017",2017,Jan
Unprovoked,USA,Florida,,M,N,Morning,WPTV. 1/13/2017,2017,Jan
Unprovoked,INDONESIA,Bali,Surfing,M,N,07h30,"Daily Mail, 1/11/2017",2017,Jan
Unprovoked,USA,Florida,Wading,M,N,12h30,"Florida Today, 1/5/2017",2017,Jan
Invalid,AUSTRALIA,New South Wales,Wading,M,,18h00,"Illawarra Mercury, 1/7/2017",2017,Jan
Unprovoked,USA,Florida,Surfing,M,N,17h00,"TCPalm, 12/28/2016",2016,Dec
Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,N,Morning,"Perth Now, 12/28/2016",2016,Dec
Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,M,N,07h00,"The Citizen, 12/19/2016",2016,Dec
