Year,Type,Country,Area,Activity,Sex,Time,Investigator or Source,Month,Fatal
2017,Invalid,USA,New York,Board involved activity,M,Afternoon,"S. Curatolo-Wageman, GSAF",Sep ,
2017,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"Sun Sentinel, 9/24/2017",Sep ,N
2017,Unprovoked,USA,Florida,Board involved activity,M,Morning,"WPTV, 9/25/2017",Sep ,N
2017,Unprovoked,SPAIN,Canary Islands,Board involved activity,M,,Turismo La Aldea,Sep ,N
2017,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"Orlando Sentinel, 9/16/2017",Sep ,N
2017,Invalid,SOUTH AFRICA,Western Cape Province,Diving activities,M,Afternoon,"Ground Up, 9/20/2017",Sep ,
2017,,SAMOA, Upolu Island,Fishing related,M,Nightime,"Samoa Observer, 9/16/2017",Sep ,N
2017,Unprovoked,USA,Florida,Board involved activity,M,Random or not clear time references,"TrackingSharks.com, 10/22/2017",Sep ,N
2017,Unprovoked,AUSTRALIA,Westerm Australia,Swimming related,M,Afternoon,"West Australian, 9/11/2017",Sep ,N
2017,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,Morning,"B. Myatt, GSAF",Sep ,N
2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming related,M,Morning,"All Africa, 10/11/2017",Sep ,Y
2017,Unprovoked,JAPAN,Shizuoka Prefecture,Board involved activity,M,Morning,"Japan Today, 9/4/2017",Sep ,N
2017,Unprovoked,USA,Florida,Swimming related,M,,NewsFlare,Sep ,N
2017,Unprovoked,USA,Texas,Swimming related,F,,"Brownsville Herald, 9/5/2017",Sep ,N
2017,Unprovoked,USA,Florida,Board involved activity,M,Morning,"Click Orlando, 9/2/2017",Sep ,N
2017,Unprovoked,AUSTRALIA,Victoria,Board involved activity,M,Morning,"B. Myatt, GSAF",Aug ,N
2017,Unprovoked,USA,Florida,Beach activities,F,Afternoon,"Sun Sentinel, 8/27/2017",Aug ,N
2017,Invalid,SPAIN,Castellón,Swimming related,F,Afternoon,"El Periodico Mediterraneo, 8/27/2017",Aug ,
2017,Unprovoked,NEW ZEALAND,North Island,Board involved activity,M,,"C.Black, GSAF",Aug ,N
2017,Unprovoked,USA,Massachusetts,SUP,M,Morning,"Cape Cod Times, 8/23/2017",Aug ,N
2017,Unprovoked,BAHAMAS,,Fishing related,M,Afternoon,"CBS12, 8/18/2017",Aug ,N
2017,Unprovoked,USA,South Carolina,Swimming related,M,Afternoon,"C. Creswell, GSAF",Aug ,N
2017,Unprovoked,EGYPT,Red Sea Protectorate,Diving activities,F,,"Egyptian government, 8/5/2017",Aug ,N
2017,Provoked,USA,Massachusetts,Fishing related,M,Nightime,"MassLive, 8/4/2017",Aug ,N
2017,Boating,USA,California,Board involved activity,M,Morning,"R. Collier, GSAF",Aug ,N
2017,Unprovoked,USA,Florida,Board involved activity,M,Random or not clear time references,"K. McMurray, Tracking Sharks",Jul ,N
2017,Invalid,USA,South Carolina,Swimming related,M,Afternoon,"C. Creswell, GSAF",Jul ,
2017,Unprovoked,USA,South Carolina,,F,Afternoon,"C. Creswell, GSAF",Jul ,N
2017,Unprovoked,BAHAMAS,New Providence District,Diving activities,F,,"R. Rolle, Tribune 242,  7/28/2017",Jul ,N
2017,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Fishing related,M,,"RevistaJaraysedal.es, 7/26/2017",Jul ,N
2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Board involved activity,M,Afternoon,"Telegraph UK, 7/28/2017",Jul ,N
2017,Unprovoked,SPAIN,Majorca,Swimming related,F,Afternoon,"Daily Record, 7/24/2017",Jul ,N
2017,Unprovoked,USA,Florida,,F,Afternoon,"NBC Miami, 7/23/2017",Jul ,N
2017,Boating,USA,California,Board involved activity,M,Morning,"R. Collier, GSAF",Jul ,N
2017,Unprovoked,USA,California,SUP,M,Morning,"R. Collier, GSAF",Jul ,N
2017,Unprovoked,USA,Washington,Board involved activity,M,Random or not clear time references,"R. Collier, GSAF",Jul ,N
2017,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,Morning,,Jul ,N
2017,Boating,USA,California,Board involved activity,M,Morning,"R. Collier, GSAF",Jul ,N
2017,Unprovoked,USA,Florida,Swimming related,M,Afternoon,"Miami-Beach Patch, 7/9/2017",Jul ,N
2017,Provoked,MEXICO,Tabasco,Fishing related,M,,"Tabasco Hoy, 7/7/2017",Jul ,N
2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Board involved activity,F,Afternoon,"Dispatch Live, 7/7/2027",Jul ,N
2017,Invalid,USA,South Carolina,Fishing related,M,Random or not clear time references,"C. Creswell, GSAF",Jun ,
2017,Unprovoked,USA,South Carolina,Swimming related,F,,"C. Creswell, GSAF",Jun ,N
2017,Unprovoked,USA,Florida,Board involved activity,M,Morning,"CBS12, 6/19/2017",Jun ,N
2017,Unprovoked,USA,South Carolina,Swimming related,F,,"C. Creswell, GSAF",Jun ,N
